concept1,concept2,similarity,type
pain,croissant,0.85,vie_quotidienne
chaise,table,0.88,vie_quotidienne
voiture,station-service,0.90,vie_quotidienne
brosse,peigne,0.80,vie_quotidienne
lampe,lumière,0.92,vie_quotidienne
chaussure,sac,0.87,vie_quotidienne
stylo,crayon,0.89,vie_quotidienne
café,thé,0.88,vie_quotidienne
serviette,nappe,0.75,vie_quotidienne
porte,fenêtre,0.84,vie_quotidienne
réfrigérateur,congélateur,0.90,vie_quotidienne
aspirateur,balai,0.85,vie_quotidienne
lit,matelas,0.92,vie_quotidienne
verre,tasse,0.88,vie_quotidienne
four,micro-ondes,0.90,vie_quotidienne
ordinateur,télévision,0.78,vie_quotidienne
rideau,volet,0.80,vie_quotidienne
savon,shampoing,0.87,vie_quotidienne
bouteille,verre,0.89,vie_quotidienne
chaise-longue,hamac,0.83,vie_quotidienne
assiette,plat,0.90,vie_quotidienne
lampe,abat-jour,0.85,vie_quotidienne
grille-pain,cuiseur-vapeur,0.78,vie_quotidienne
tablette,smartphone,0.89,vie_quotidienne
rouleau,pinceau,0.82,vie_quotidienne
linge,lessive,0.88,vie_quotidienne
horloge,réveil,0.90,vie_quotidienne
miroir,coiffeuse,0.85,vie_quotidienne
tabouret,banc,0.87,vie_quotidienne
couteau,cuillère,0.84,vie_quotidienne
lampe de poche,torche,0.88,vie_quotidienne
pull,écharpe,0.80,vie_quotidienne
ventilateur,climatisation,0.85,vie_quotidienne
évier,robinet,0.87,vie_quotidienne
placard,étagère,0.89,vie_quotidienne
télécommande,télévision,0.92,vie_quotidienne
douche,baignoire,0.90,vie_quotidienne
linge,sèche-linge,0.89,vie_quotidienne
chaussure,bottes,0.85,vie_quotidienne
tapis,carrelage,0.78,vie_quotidienne
rideau,store,0.87,vie_quotidienne
oreiller,couette,0.92,vie_quotidienne
friteuse,robot-mixeur,0.80,vie_quotidienne
agenda,calendrier,0.88,vie_quotidienne
ampoule,lampe,0.90,vie_quotidienne
téléphone,chargeur,0.89,vie_quotidienne
lit,sommier,0.85,vie_quotidienne
sac,cartable,0.87,vie_quotidienne
plante,vase,0.88,vie_quotidienne
serviette de bain,peignoir,0.84,vie_quotidienne
rideau de douche,tapis de bain,0.86,vie_quotidienne
thermomètre,baromètre,0.75,vie_quotidienne
savon liquide,gel douche,0.87,vie_quotidienne
essuie-glace,pare-brise,0.89,vie_quotidienne
drap,housse de couette,0.88,vie_quotidienne
parapluie,impermeable,0.86,vie_quotidienne
appareil photo,trépied,0.80,vie_quotidienne
chapeau,casquette,0.85,vie_quotidienne
valise,sac de voyage,0.88,vie_quotidienne
gant,tissu,0.84,vie_quotidienne
brosse à dents,dentifrice,0.92,vie_quotidienne
serviette,tissu,0.89,vie_quotidienne
éponge,détergent,0.87,vie_quotidienne
bouteille d'eau,carafe,0.85,vie_quotidienne
lave-linge,lave-vaisselle,0.78,vie_quotidienne
barbecue,plancha,0.88,vie_quotidienne
housse,couverture,0.87,vie_quotidienne
gants de cuisine,torchon,0.85,vie_quotidienne
sac à main,porte-monnaie,0.90,vie_quotidienne
thermos,bouteille isotherme,0.88,vie_quotidienne
lampe de bureau,lampe de chevet,0.87,vie_quotidienne
tapis de sol,tapis de bain,0.80,vie_quotidienne
linge de lit,couette,0.92,vie_quotidienne
savon de marseille,lessive,0.85,vie_quotidienne
verre à vin,flûte à champagne,0.90,vie_quotidienne
plat,couvercle,0.88,vie_quotidienne
balai,pelle,0.87,vie_quotidienne
seau,épuisette,0.78,vie_quotidienne
rideaux,tringle,0.84,vie_quotidienne
montre-bracelet,montre connectée,0.85,vie_quotidienne
panier,cagette,0.82,vie_quotidienne
assiette creuse,assiette plate,0.89,vie_quotidienne
hublot,lucarne,0.80,vie_quotidienne
interrupteur,prise électrique,0.88,vie_quotidienne
marqueur,stabilo,0.90,vie_quotidienne
sac à dos,sacoche,0.85,vie_quotidienne
paillasson,tapis de sol,0.87,vie_quotidienne
chaussures de sport,tennis,0.90,vie_quotidienne
briquet,allumettes,0.89,vie_quotidienne
tablier,gants de cuisine,0.84,vie_quotidienne
vaisselle,lave-vaisselle,0.88,vie_quotidienne
pain,table,0.30,vie_quotidienne
chaise,fenêtre,0.25,vie_quotidienne
voiture,brosse,0.15,vie_quotidienne
lampe,assiette,0.20,vie_quotidienne
chaussure,verre,0.18,vie_quotidienne
stylo,lit,0.22,vie_quotidienne
café,rideau,0.19,vie_quotidienne
porte,réfrigérateur,0.28,vie_quotidienne
aspirateur,shampoing,0.24,vie_quotidienne
douche,stylo,0.17,vie_quotidienne
serviette,bouteille,0.29,vie_quotidienne
chaussure,ordinateur,0.23,vie_quotidienne
miroir,verre,0.21,vie_quotidienne
tabouret,voiture,0.26,vie_quotidienne
rideau,vaisselle,0.27,vie_quotidienne
oreiller,télévision,0.28,vie_quotidienne
couvercle,fenêtre,0.16,vie_quotidienne
ventilateur,porte,0.19,vie_quotidienne
tapis de sol,friteuse,0.22,vie_quotidienne
parapluie,rideaux,0.27,vie_quotidienne
ampoule,tabouret,0.20,vie_quotidienne
clavier,savon,0.18,vie_quotidienne
télécommande,balai,0.26,vie_quotidienne
agenda,rideaux,0.25,vie_quotidienne
savon liquide,lave-linge,0.28,vie_quotidienne
essuie-glace,micro-ondes,0.23,vie_quotidienne
paillasson,robot-mixeur,0.19,vie_quotidienne
rideaux,stylo,0.20,vie_quotidienne
marqueur,dentifrice,0.17,vie_quotidienne
seau,éponge,0.24,vie_quotidienne
parapluie,miroir,0.21,vie_quotidienne
soleil,lumière,0.92,nature
rivière,ruisseau,0.88,nature
océan,mer,0.90,nature
arbre,forêt,0.94,nature
fleur,plante,0.93,nature
montagne,colline,0.85,nature
neige,glace,0.87,nature
lac,étang,0.88,nature
désert,oasis,0.83,nature
ciel,nuage,0.89,nature
prairie,plaine,0.86,nature
roche,pierre,0.90,nature
orage,tonnerre,0.92,nature
feu,braise,0.88,nature
vent,tempête,0.87,nature
volcan,cratère,0.89,nature
plage,sable,0.91,nature
forêt,bois,0.93,nature
rivière,source,0.86,nature
arbre,branche,0.90,nature
herbe,prairie,0.88,nature
cactus,désert,0.85,nature
cascade,eau,0.91,nature
feuille,arbre,0.89,nature
vague,marée,0.87,nature
soleil,chaleur,0.92,nature
terre,roche,0.85,nature
lune,astre,0.88,nature
fleur,bouquet,0.89,nature
marais,étang,0.86,nature
grotte,stalactite,0.84,nature
île,archipel,0.90,nature
ciel,arc-en-ciel,0.87,nature
eau,source,0.93,nature
rivière,delta,0.88,nature
falaise,rocher,0.89,nature
nuit,étoile,0.91,nature
forêt,clairière,0.85,nature
feuillage,arbre,0.90,nature
volcan,lave,0.92,nature
neige,montagne,0.86,nature
rivière,canal,0.88,nature
plage,océan,0.89,nature
tempête,orage,0.91,nature
vent,bourrasque,0.87,nature
rocher,canyon,0.85,nature
boue,pluie,0.84,nature
cascade,rocher,0.88,nature
herbe,pelouse,0.92,nature
glace,banquise,0.89,nature
sable,dune,0.90,nature
feuille,branche,0.87,nature
lac,berge,0.86,nature
vague,surf,0.85,nature
désert,dune,0.89,nature
prairie,champs,0.87,nature
arbre,racine,0.91,nature
soleil,horizon,0.89,nature
terre,humus,0.86,nature
grotte,spéléologie,0.85,nature
neige,avalanche,0.88,nature
fleur,pétale,0.93,nature
rivière,torrent,0.90,nature
montagne,pic,0.92,nature
herbe,terrain,0.88,nature
forêt,arbuste,0.85,nature
tempête,coup de vent,0.89,nature
roche,minéral,0.91,nature
étoile,galaxie,0.87,nature
volcan,eruption,0.90,nature
rivière,barrage,0.86,nature
plage,dune,0.88,nature
glace,flocon,0.91,nature
terre,cailloux,0.87,nature
arc-en-ciel,prisme,0.86,nature
nuit,clair de lune,0.89,nature
falaise,abîme,0.85,nature
désert,sable,0.92,nature
cactus,épine,0.88,nature
cascade,brume,0.90,nature
rivière,remous,0.87,nature
prairie,herbage,0.86,nature
vague,écume,0.89,nature
montagne,altitude,0.91,nature
fleur,parfum,0.85,nature
vent,souffle,0.86,nature
soleil,énergie,0.93,nature
feuille,verdure,0.88,nature
glace,cristal,0.90,nature
lac,reflet,0.89,nature
marécage,eau stagnante,0.84,nature
roche,fossile,0.87,nature
arbre,fruit,0.91,nature
neige,givre,0.89,nature
rivière,lit,0.86,nature
forêt,ombre,0.88,nature
plage,brise,0.87,nature
soleil,roche,0.20,nature
rivière,sable,0.25,nature
océan,feuille,0.18,nature
arbre,lune,0.22,nature
fleur,volcan,0.15,nature
montagne,désert,0.27,nature
neige,forêt,0.30,nature
lac,cactus,0.28,nature
désert,nuage,0.24,nature
ciel,braise,0.21,nature
prairie,lave,0.18,nature
roche,vent,0.26,nature
orage,fleur,0.20,nature
feu,eau,0.29,nature
vent,humus,0.19,nature
volcan,prairie,0.25,nature
plage,banquise,0.22,nature
forêt,cratère,0.17,nature
rivière,surf,0.21,nature
arbre,océan,0.23,nature
herbe,nuage,0.27,nature
cactus,vague,0.19,nature
cascade,désert,0.28,nature
feuille,neige,0.24,nature
vague,soleil,0.22,nature
terre,arc-en-ciel,0.20,nature
lune,source,0.18,nature
fleur,glace,0.25,nature
marais,astre,0.27,nature
grotte,humus,0.23,nature
île,tonnerre,0.21,nature
ciel,herbe,0.19,nature
eau,rocher,0.28,nature
rivière,plaine,0.24,nature
falaise,étang,0.20,nature
nuit,désert,0.18,nature
forêt,boue,0.26,nature
feuillage,vent,0.22,nature
volcan,bois,0.23,nature
neige,clairière,0.21,nature
rivière,cristal,0.25,nature
plage,givre,0.24,nature
tempête,fossile,0.19,nature
vent,fruit,0.20,nature
rocher,marée,0.18,nature
boue,pétale,0.27,nature
cascade,galaxie,0.28,nature
herbe,étoile,0.25,nature
glace,prisme,0.23,nature
sable,terre,0.24,nature
internet,réseau,0.92,technologies
ordinateur,serveur,0.89,technologies
téléphone,smartphone,0.93,technologies
logiciel,application,0.94,technologies
robot,automate,0.90,technologies
données,algorithme,0.88,technologies
code,programme,0.95,technologies
intelligence,IA,0.96,technologies
machine,équipement,0.91,technologies
énergie,batterie,0.89,technologies
cloud,stockage,0.92,technologies
crypto,blockchain,0.93,technologies
email,messagerie,0.90,technologies
wifi,bluetooth,0.88,technologies
IA,deep learning,0.94,technologies
système,réseau,0.91,technologies
navigateur,moteur de recherche,0.89,technologies
base de données,table,0.92,technologies
capteur,capteur thermique,0.88,technologies
robotique,automatisation,0.94,technologies
impression,imprimante 3D,0.93,technologies
microprocesseur,processeur,0.92,technologies
cloud computing,virtualisation,0.91,technologies
routeur,modem,0.90,technologies
antivirus,firewall,0.88,technologies
chatbot,assistant vocal,0.93,technologies
API,intégration,0.92,technologies
drones,robots,0.91,technologies
